iter	Passed	Remaining
405	7342	10743
406	7359	10723
407	7375	10702
408	7391	10680
409	7408	10660
410	7425	10640
411	7442	10621
412	7459	10602
413	7479	10586
414	7498	10570
415	7516	10552
416	7534	10533
417	7549	10511
418	7565	10490
419	7581	10469
420	7598	10450
421	7615	10430
422	7630	10409
423	7646	10387
424	7661	10366
425	7677	10345
426	7693	10324
427	7709	10303
428	7726	10283
429	7742	10262
430	7758	10243
431	7774	10222
432	7789	10200
433	7803	10177
434	7817	10153
435	7834	10135
436	7851	10115
437	7866	10094
438	7888	10081
439	7909	10066
440	7941	10066
441	7974	10067
442	7996	10054
443	8025	10050
444	8044	10032
445	8060	10012
446	8078	9993
447	8095	9974
448	8110	9952
449	8125	9931
450	8143	9913
451	8159	9892
452	8181	9879
453	8203	9865
454	8220	9846
455	8238	9828
456	8255	9808
457	8270	9787
458	8289	9770
459	8304	9748
460	8319	9727
461	8336	9707
462	8353	9688
463	8371	9670
464	8386	9649
465	8402	9628
466	8418	9608
467	8435	9588
468	8453	9570
469	8472	9553
470	8488	9533
471	8506	9516
472	8523	9496
473	8540	9476
474	8556	9456
475	8574	9438
476	8590	9419
477	8607	9399
478	8624	9380
479	8641	9361
480	8657	9341
481	8679	9328
482	8697	9310
483	8714	9290
484	8731	9271
485	8749	9253
486	8766	9234
487	8784	9216
488	8801	9197
489	8818	9178
490	8834	9158
491	8850	9138
492	8866	9118
493	8887	9103
494	8903	9083
495	8919	9063
496	8937	9044
497	8953	9025
498	8969	9005
499	8986	8986
500	9007	8971
501	9022	8950
502	9036	8928
503	9052	8908
504	9068	8888
505	9089	8874
506	9108	8857
507	9125	8838
508	9142	8818
509	9158	8799
510	9175	8780
511	9194	8763
512	9210	8743
513	9229	8726
514	9248	8709
515	9265	8690
516	9281	8670
517	9297	8651
518	9315	8633
519	9330	8612
520	9345	8592
521	9360	8571
522	9376	8551
523	9391	8531
524	9411	8515
525	9427	8495
526	9444	8477
527	9466	8462
528	9483	8443
529	9499	8424
530	9516	8404
531	9532	8385
532	9548	8366
533	9564	8346
534	9579	8326
535	9593	8304
536	9614	8289
537	9631	8270
538	9647	8251
539	9663	8232
540	9679	8212
541	9695	8192
542	9708	8170
543	9723	8150
544	9738	8130
545	9755	8111
546	9770	8091
547	9786	8072
548	9803	8053
549	9818	8033
550	9833	8013
551	9850	7994
552	9867	7976
553	9885	7958
554	9900	7938
555	9915	7917
556	9930	7897
557	9945	7878
558	9962	7859
559	9979	7841
560	9994	7821
561	10010	7802
562	10027	7783
563	10043	7764
564	10059	7745
565	10075	7726
566	10092	7707
567	10108	7688
568	10125	7669
569	10142	7651
570	10158	7632
571	10175	7614
572	10192	7595
573	10207	7575
574	10222	7556
575	10238	7536
576	10253	7516
577	10270	7498
578	10289	7481
579	10306	7463
580	10322	7444
581	10338	7425
582	10354	7406
583	10370	7387
584	10386	7368
585	10403	7350
586	10422	7332
587	10438	7313
588	10454	7294
589	10470	7276
590	10488	7258
591	10507	7241
592	10536	7231
593	10557	7215
594	10576	7198
595	10595	7182
596	10611	7163
597	10631	7147
598	10646	7127
599	10667	7111
600	10686	7094
601	10702	7076
602	10719	7057
603	10735	7038
604	10750	7019
605	10766	7000
606	10782	6980
607	10798	6962
